name	gPlusPlaceId	latitude	longitude
b'Merry Maids'	116167008685876949080	37.428433	-122.07238100000001
b'ClickAway'	109313049343702688278	37.397753	-122.10774199999999
b'Arroyo Animal Clinic'	105002697535923134513	37.35279	-122.00301200000001
b'Williams Cutlery & Gifts'	110907461902274791474	37.261032	-121.928556
b'Kenzo Sushi'	108154014110798888312	37.254326	-121.83113999999999
b'Kim Wok'	110125337790407704048	37.304884	-121.921823
b'Rack N Road Car Rack & Hitch Superstores'	103114189185128172191	37.266676000000004	-121.94233
b'east side smoke shop'	103270878986977603400	37.355094	-121.851676
b'Tutoring Club'	112617725763412100058	37.221333	-121.97474
b'Garden City Casino'	106229285421487980307	37.321626	-121.969829
b'Bina Technologies'	107935929835264482685	37.395554	-122.10216299999999
b'Central Self Storage'	115040959797225415718	37.34895	-121.91273000000001
b'El Jardin Restaurant & Tequila Bar'	107031687022002436775	37.319359000000006	-121.94785300000001
"b""Kurt's Auto Electric & Repair"""	110180572937636033734	37.251976	-121.832792
b'Altos Pediatric Associates: Debra Babcock MD'	114745798077597427054	37.359072	-122.091346
b'Hot Dogs on the Row'	114370393448246575353	37.320690	-121.948970
b'Abel Dental Care'	107052498122324024377	37.431933	-121.909249
b'Namaste Plaza'	108842695435164775909	37.428208000000005	-121.91383200000001
b'Black Diamond Sports'	115076149023195829111	37.444210999999996	-122.163129
b'Five Guys Burgers & Fries'	102555234300745855875	37.383654	-121.89692600000001
b'Wienerschnitzel'	104303559484394393721	37.266061	-121.865566
b'A-1 Self Storage'	113982357909518928785	37.264631	-121.94208200000001
"b""Roger's DELI & DONUTS"""	100063261974819249029	37.397065000000005	-122.059974
b'Mi Pueblo Food Center'	101664489050035090091	37.341207	-121.842937
b'Summit Estate Recovery Center'	107763897228695777847	37.115532	-121.999403
b'Good Karma Vegan Cafe'	108134465153094068523	37.335403	-121.890227
b'Starbucks'	111827248780745735324	37.415775	-122.07768899999999
b'Five Guys Burgers and Fries'	102693594741275549773	37.301926	-121.86513400000001
b'Palo Alto'	110311057617163588360	37.441499	-122.158378
b'Holland Pastry Shop'	106865432761888733644	37.318993	-121.93163100000001
b'Chicken Salsa'	117669367073022616890	37.29339	-122.032623
b'Juicy Couture'	109489893521694978811	373.23596000000003	-1219.4589
b'Wells Fargo Bank'	105101844552271608961	37.354504999999996	-121.82063799999999
"b""Skip's Tire & Auto Centers"""	116766137588534399889	37.244862	-121.804645
"b""Holly's Nail Design"""	118204584133513174915	37.259716	-121.808778
b'Five Star Falafel'	104541537974160909617	37.352537	-121.982413
b'NComputing Inc'	112848546472329680240	37.527188	-122.26118000000001
b'Rosemary Evans DDS'	115858366987531266587	37.362272999999995	-121.84623300000001
b'Cupertino Bakery'	102847186943082510283	37.319216	-122.03303700000001
b'Banana Republic'	103966178461320941426	37.442925	-122.171493
b'Parktown Pizza Company'	113902009429577880986	37.41755	-121.87378400000001
b'U.S. FIREARMS COMPANY'	112365610872962846295	37.372364000000005	-122.04803799999999
b'Jamba Juice'	116153406532918709481	37.3834	-121.895
b'Citibank'	116116164765988937382	37.445347999999996	-122.16200400000001
b'Anderson School Age Child Development'	100893985819217829730	37.246802	-121.811953
b'Mantra'	117516720042117045653	37.443501	-122.16106699999999
b'Ramblc Pediatric Medical: Min Jeffrey K MD'	109486531647995323541	37.252041	-121.952798
"b""Kirk's Steakburgers"""	111864151146926709237	37.438082	-122.159453
b'Dr. Anna Anderson, MD'	101382665083062870197	37.376381	-122.06521299999999
b'Fairtex MuayThai Fitness'	100597065265111926207	37.414774	-122.091734
b'Capitol Hyundai'	114580163755740108285	37.275307	-121.87539299999999
b'Orchard Supply Hardware'	107822338663663994486	37.323605	-121.90160800000001
b'Woodland Meadows'	114254559988759776967	37.385573	-121.88941299999999
b'Smog Man Test Only'	109790765366006155113	37.32281	-121.907868
b'Dr. Charmaine L. Tu, D.C.'	101205437409776975409	37.355934000000005	-122.09048
b'Streetlight Records'	100812805423195681505	37.307922999999995	-121.93155300000001
b'Hoagie Steak Out'	106289643968392389032	37.332374	-121.884723
b'7-Eleven, Inc.'	110486010506465995657	37.370311	-122.0143
"b""Mr.T's Barber Shop"""	100157513452483208220	37.346269	-121.97780800000001
b'Bajis Cafe'	109872526121483086865	37.414532	-122.098026
b'Park & Hester Market'	105986785606425115405	37.329724	-121.91943799999999
b'Village Lake Apartments'	103132419230684933374	37.402856	-122.07518600000002
"b""Cheetahs Gentlemen's Club"""	107861709917749470654	37.381301	-122.008959
b'Back to Health Chiropractic Center'	104511161732942494532	37.773773999999996	-122.275926
b'La Quinta Inn & Suites San Jose Airport'	108423624740760685616	37.378175	-121.939132
"b""Effie's Restaurant & Bar"""	108612446843359215487	37.269396	-121.956903
b'Galvin Car Key Services'	107097436926844642424	37.337594	-122.04199399999999
b'Nu-Way Tool Supply'	102666197367526764969	37.352222	-121.98546200000001
b'Fresh & Easy Neighborhood Market'	100883645420641212024	37.417071	-121.954021
b'DMV'	110104291274953577697	37.229655	-121.77851399999999
"b""Famous Dave's Bar-B-Que"""	100113107235606637994	37.002842	-121.55368600000001
b'Cali Movers Inc.'	101787072032964945906	37.246878	-121.86326499999998
b'Valero'	111455836806509220775	37.323696000000005	-121.93238500000001
b'Pho Hoa'	101216481787477158457	37.352193	-121.99228000000001
b'E-Noodle Restaurant'	118157477885828414036	37.421184999999994	-121.917592
b'Tequilla Shots Bar & Grill'	102340811647514889276	37.431094	-121.906898
b'Dr. Martin Luther King, Jr. Library'	117395910679978193779	37.335656	-121.88531599999999
b'Oakley'	101380993829423046843	37.320190999999994	-121.947452
b'AutoZone'	102840958455295668664	37.350637	-121.827582
b'Rapidform Inc'	104244235470847523228	37.408181	-122.02429099999999
b'AT&T'	109396345529943303072	37.423294	-122.141392
b'Murasaki Home Furnishings Inc'	109296648659578610928	37.31523	-122.03281100000001
b'Splendid Foot Reflexology'	113630657112777315494	37.333655	-121.852538
b'Original Pancake House'	117858416706070221652	37.298589	-122.03205
b'Parcel 104'	115331527372839192147	37.390793	-121.97395800000001
b'Saratoga Shell'	105808392864648413745	37.294405	-122.032053
"b""Bobbin's Nest Studio"""	102991901815423162529	37.348655	-121.946147
b'Footwear etc.'	116865051801324688424	37.378405	-122.117124
b'Hani Jamah, DDS (Jamah Dental)'	100185611127529378394	37.248153	-121.84646599999999
"b""Jersey Mike's Subs"""	115778612152954495090	37.394596	-121.94564799999999
b'Vainer William DDS'	100600914811854554555	37.285113	-121.93147900000001
b'Catalyst Athletics'	100527805473897326494	37.403683	-121.989116
"b""Kokila's Kitchen"""	102996413361039715515	37.258990999999995	-121.89138700000001
b'Asphalt Overcoat Sealer Contractor'	102370382423402277249	37.266022	-121.864577
"b""Zoey's Cafe"""	107304694940774858963	34.279647	-119.297928
b'Khim Choong L.Ac,M.S.,R.N'	100173269004995686768	37.243575	-121.948457
b'Darling Nails'	107734284288827202727	37.290237	-121.888117
b'RASA Hydroponics & Organics'	101242702532842023281	37.248893	-121.86773500000001
b'La Cueva Mex Grill'	111985730466111089146	37.291431	-121.99440700000001
b'Hawaiian BBQ'	116873324100876387732	37.236803	-121.801645
"b""Rubio's Fresh Mexican Grill"""	113651716288365063678	37.366926	-122.03213400000001
"b""Mo's"""	108775164937913090755	37.28692	-121.94458600000002
b'Parrot Cellular'	102401360937634597427		
"b""Trader Joe's"""	101821229116798906396	37.288385	-121.932397
b'Hilton San Jose'	117183594758185443895	37.329189	-121.89069199999999
b'Rotten Robbie'	113645739676650155398	37.021097	-121.569405
b'Satori Cellars'	102163079277951959842	37.051021	-121.549653
b'Fashion Code Beauty Salon'	103777272428482733871	37.392878	-122.080321
"b""Lowe's Home Improvement"""	112447315814409038847	37.380311999999996	-121.901125
b'RedBrick Pizza'	103131652786817119147	37.428453000000005	-121.920882
b'Heritage Park Apartments'	110622326883496089674	37.374507	-122.02211299999999
b'Law Offices of Travis H. Whitfield'	110728966293565268367	37.382673	-121.912375
"b""Erik's DeliCafe"""	114835460738789754425	37.359013	-122.02101299999998
b'Morgan Hill Inn Motel'	115757829455794615789	37.116304	-121.64435800000001
b'Petco Animal Supplies - Gilroy'	113229375161815274054	37.028026000000004	-121.567793
b'Elbow Room Bar & Grill'	114118430863901189623	36.81162	-119.807203
b'Kaiser Permanente Santa Clara Medical Center'	103592918163205534868	37.336277	-121.99778300000001
b'Faz'	109767845157632463346	37.40462	-122.025326
"b""Roy's Station Coffee & Tea"""	111971750149094607292	37.349034	-121.894737
b'Sushi Mania'	101025789296147189137	37.251588	-121.909273
b'Senor Jalapeno'	115978705500414857902	37.369335	-121.92026499999999
b'Luu New Tung Kee Noodle'	106953190939597890058	37.433421	-121.89758300000001
b'Shadowbrook'	108198482621192512500	37.379868	-122.05420900000001
b'Blue Sky Chinese Restaurant'	102457191909946558188	37.286614	-121.94967700000001
"b""Schroeder's Garden Design"""	108382430311013634883	37.173356	-121.99091499999999
b'Billy Defrank Lgbt Community Center'	110262351404573113874	37.331508	-121.908056
b'Afghani House Restaurant'	111440468434749856952	37.352425	-122.00070500000001
b'Ben Rodgers Park'	105294644171068810179	37.427619	-121.867428
b'In-N-Out Burger'	115315321354730900391	37.426291	-121.92237800000001
b'Lam Steven C'	112279570961829462305	37.378062	-121.994148
b'Law Offices of Maynard & Hogan'	103306455220468129037	37.302828000000005	-121.899555
b'Pieology Pizzeria'	107990357236218229078	37.383077	-121.897203
b'Grand Century Dental Center'	112424463049934646000	37.329459	-121.859277
b'LabCorp'	114366789677424011997	37.371233000000004	-122.044069
b'Patagonia'	102518119606228025513	37.443014	-122.16308300000001
b'Executive Inn'	100905534324566557408	37.360699	-121.907728
b'The UPS Store'	103681757467425570890	37.262049	-121.93446200000001
b'CVS Pharmacy'	107014230746698128320	37.391841	-122.081092
b'Foothill Lounge'	101710101450621714491	37.31295	-121.79144
b'Starbucks'	102031789528094638354	37.294616	-121.93093
b'Thomas E. Bloink, DC'	109397566256961601198		
b'Hong Kong Bakery'	103587175868246321606	37.393767	-122.07931599999999
b'Advanced Communications'	108588852556441369543		
b'Bank of America'	113597171972827198103	37.390567	-122.08131000000002
b'Siam Fine Thai Cuisine'	108139965358635424717	37.323192	-121.946003
b'Admob Inc'	100536608343613898800	37.421144	-122.085303
b'Music Tunnel Ktv'	102507923610950639421	37.304885	-122.031977
b'Aguila Travel'	103319614325391033585	37.348637	-121.83066200000002
b'Los Dos Compadres 2'	115250779014715347428	37.294677	-122.03145900000001
b'Peninsula Dental Excellence'	116000569940588755827	37.373523	-122.087566
b'Le Boulanger Inc'	103353118188952625063		
b'De Martini Orchard'	100458177961770231366	37.38282	-122.11431599999999
b'Starbucks'	110052574289417196783	37.378631	-122.0464
"b""Hobee's"""	116150392432998827564	37.398154	-121.92450500000001
b'AMC Mercado 20'	115803994247639696609	37.38923	-121.983033
"b""Floyd's Barber Shop"""	111280080912045081370	37.274640000000005	-121.93411499999999
b'US Post Office'	102034274676880282502	37.263633	-121.957219
b'Mission 6 Salon'	113497004987103464700	37.426452	-122.146239
b'Target Pharmacy'	117845896558340448341	37.264728999999996	-121.918489
b'Heroes'	100883186729523433847	37.286952	-121.949398
"b""Hitchcock's Garden Tool & Supply"""	112467669295770415683	37.322468	-121.90031299999998
"b""Carl's Jr. / Green Burrito"""	113361481509703180445	37.396928	-122.10548600000001
b'MORITA DENTAL'	112634479574233787921	37.323915	-122.019873
b'Pickering Laboratories'	108870718993917673484	37.41725	-122.074773
b'Vero Ristorante Italiano'	104182837508457765315	37.445485	-122.16111200000002
b'Una Mas Mexican Grill'	109159993980270118802	37.319267	-122.044610
b'Cpi Satcom Division'	100672034663178782738	37.417769	-122.139356
b'Sunnyvale Police Department'	112391641335098576815	37.370415	-122.039796
b'Nail Spa By Tammy'	118181192846354376972	37.305028	-121.89839199999999
b'Loretta Stagnitto Leadership Associates, LLC'	115510154438301451125	37.218671	-121.956296
b'Union Auto Care'	108667008307085969962	37.259997	-121.931583
b'Good Technology Inc'	111546823879713283325	37.390071999999996	-122.03906200000002
b'AMC Glass Co'	104557749372722867905	37.306802000000005	-121.865126
b'Java Sushi'	100967604265377111190	37.411008	-122.01498400000001
b'Liu Dental Morgan Hill'	100478372703782935068	37.130849	-121.661332
b'Comfort Inn Morgan Hill'	108930451764380679235	37.122977	-121.62693200000001
b'City Diner'	108215703415883643286	37.290113	-121.848129
"b""Bob's Towing"""	113270413214914590625	33.998791	-117.88433300000001
b'ViVe Sol'	110557475507871359519	37.395270000000004	-122.099744
b'Pharmacyclics Inc'	109642962261402779105	37.381663	-122.003859
b'Noahs Bagels'	115164818900530909527		
b'Briarwood Apartments'	107698779352780470951	37.382938	-122.04076299999998
b'Park Mary Apartments'	108071812909916422372	37.375307	-122.048055
b'Pizza Hut'	117920279631992324343	37.260279	-121.88554199999999
b'Mitri Hair Studio'	104542128516584831701	37.330456	-121.950604
"b""Hagop's Photography"""	102056713042400437451	37.444523	-122.123006
b'California Street Market'	114000680161593278273	37.394656	-122.08942900000001
b'Ramen Halu'	117372007146142905704	37.321641	-121.97179299999999
b'Korea Tofu House'	117016104945551226974	37.335734	-122.015638
b'Pediatric Associates'	107480727241038221179	37.220146	-121.864442
b'Dry Carpet Cleaning'	104154342785321572384	37.353966	-121.952999
b'FAST SMOG'	107251888251400438909	37.269246	-121.955548
b'Saratoga Springs Retreat & Healing Center'	102865560764872684743	39.174786	-122.98148700000002
b'Imagine Hair Salon'	118350537585348984188	37.394059000000006	-122.0796
b'Dio Deka'	112291040768960885308	37.220915999999995	-121.97713600000002
b'Target'	100105025087465191296	37.304739	-121.865002
b'Anthony For Hair'	106013183805244199234	37.2368	-121.80448200000001
b'Produce Spot'	105577157615503865155	373.87039	-1218.59976
b'Happy Hound'	105207394968167331658	37.237614	-121.96248
b'US Post Office'	107399461371538556050	37.393471000000005	-121.924954
b'Jack In the Box'	103588793201909241745	37.323178000000006	-121.91933700000001
b'Sunnyvale Discount Smog'	105676830421299674745	37.372609000000004	-122.016916
b'Kannon Do Zen Meditation Center'	103477766880323387336	37.412631	-122.090387
b'Midas San Jose'	113169662490209606825	37.276351	-121.832898
b'Casa Lupe Mexican Restaurant'	114386634269953347782	37.283887	-121.949955
b'James M. Loconte, DC'	118254324689889713797	37.396533000000005	-122.104478
b'Absolute Telecom, INC'	116483650855640242858	37.272907000000004	-121.94568999999998
b'Sushi Hana Restaurant'	113518339293057572221	37.322860999999996	-122.005949
b'Safeway'	110022248977173204136	37.365628	-122.030643
b'Apostille Services'	117905414905530875491	37.380036	-121.994777
b'Capitol & Senter Smog Test'	112226819685278989907	37.293959	-121.833229
b'Bay Area Computer Solutions'	106179673136770159546	37.434091	-122.130238
b'All About Gutters'	109920344477034094267	37.365976	-121.940172
b'Boardwalk'	102722223499129295827	37.347699	-121.99328200000001
b'SonicWALL, Inc.'	103912068261729948690	37.253616	-121.93262299999999
b'Sushi 88 & Ramen'	107181685326907451477	37.402931	-122.10656200000001
b'The Fresh Market'	110587031180611068159	37.448239	-122.125522
b'Sangam Indian Cuisine'	113412656615718623427	37.385417	-121.92753400000001
b'Whole Foods Market'	101296506655658695141	37.323640999999995	-122.039722
b'Acumen Auto Glass'	115250692462023447213	37.27459	-121.949615
b'Alcazar Construction'	116403417940245845004	37.271171	-121.89318100000001
b'Lucky Supermarkets'	115645697921758739743	37.315094	-121.79045
b'Maps Stickers, Inc.'	117253135268985147199	37.422154	-122.09033500000001
b'Pure Barre'	108176674360929241099	37.223442999999996	-121.98186100000001
b'Los Gatos Coffee Roasting Company'	117785493450536080587	37.222027000000004	-121.982984
b'La Milpa Mexican Restaurant'	113755470519330733312	37.434509999999996	-121.902103
b'Fireclay Tile'	103772542595113830157	37.336299	-121.902515
b'Tgi Sushi Sunnyvale'	104650237020486549959	37.388873	-122.004621
"b""Alberto's Night Club"""	102283505950801866208	37.392340999999995	-122.07893600000001
b'Santa Clara University'	116362284401641551289	37.349801	-121.93946100000001
b'Dusk Owl Design and Development'	109854887123568494265	37.322583	-122.072992
b'The Counter Mountain View'	112206857926826107592	37.401006	-122.11211200000001
b'Buca di Beppo - Palo Alto'	110174069992945881263	37.443472	-122.16070500000001
