rmse,mae,fcp,k,min_k
1.11160749709846,0.8491900688704683,0.5892329121966716,35,3
1.1122326793170654,0.8496360277528068,0.5895829240717896,35,5
1.1111906560718487,0.8488381411433678,0.5895070206727622,35,7
1.1115650945962803,0.849174065590936,0.5896610795886505,40,3
1.1121903006500968,0.8496200244732747,0.5900114996052755,40,5
1.1111482376626087,0.8488221378638355,0.5897928955437036,40,7
1.1115213138228757,0.8491657881268789,0.5898989609169694,45,3
1.1121465444885612,0.8496117470092176,0.5902019859710043,45,5
1.1111044404638184,0.8488138603997785,0.5899596614298428,45,7
1.1114998994571939,0.8491510321054699,0.5909219365485469,50,3
1.1121251421619183,0.8495969909878085,0.5911306806038303,50,5
1.1110830180635627,0.8487991043783696,0.590912687735742,50,7
