rmse,mae,fcp,k,min_k
1.1096836764703175,0.85323319933954,0.612285539834232,35,3
1.1089403314123132,0.8529967847897898,0.6031225472773236,35,5
1.1078533648287814,0.8524339946195537,0.6028710169070995,35,7
1.1096534025952134,0.8532168706921442,0.6122402392697152,40,3
1.1089100372434657,0.8529804561423942,0.6028952053434811,40,5
1.1078230409360994,0.852417665972158,0.6026659445573135,40,7
1.1096615034470398,0.8532278775181369,0.6120137414550555,45,3
1.1089181435257136,0.8529914629683866,0.6027360722506582,45,5
1.1078311551721758,0.8524286727981507,0.6025064502729207,45,7
1.1096815694309077,0.8532317506198112,0.6119910921326382,50,3
1.1089382229605096,0.852995336070061,0.6027133393725645,50,5
1.1078512543082735,0.8524325458998249,0.6024836658345669,50,7
