rmse,lr_bu,lr_bi,lr_pu,lr_qi,reg_bu,reg_bi,reg_pu,reg_qi
1.0001041636166417,0.005,0.005,0.005,0.001,0.05,0.02,0.05,0.05
1.0004502313806642,0.005,0.005,0.001,0.001,0.05,0.05,0.02,0.02
1.000460042152295,0.005,0.005,0.001,0.005,0.005,0.005,0.05,0.05
1.000488737667962,0.005,0.01,0.001,0.01,0.02,0.005,0.05,0.05
1.0006415918094695,0.005,0.005,0.001,0.001,0.05,0.02,0.05,0.05
1.0006924912775457,0.005,0.005,0.001,0.001,0.02,0.02,0.05,0.005
1.0007056254110513,0.005,0.005,0.001,0.001,0.02,0.005,0.05,0.05
1.0007823817295112,0.005,0.005,0.001,0.001,0.02,0.05,0.02,0.005
1.00078827655088,0.005,0.005,0.001,0.001,0.05,0.05,0.05,0.05
1.0008165812754495,0.01,0.01,0.01,0.005,0.05,0.005,0.02,0.05
1.0008259711104035,0.005,0.005,0.001,0.001,0.005,0.02,0.05,0.05
1.0008391281827214,0.005,0.005,0.001,0.001,0.02,0.05,0.005,0.02
1.0008488419103005,0.005,0.005,0.001,0.001,0.02,0.05,0.05,0.02
1.000913474447332,0.005,0.005,0.001,0.001,0.02,0.02,0.02,0.05
1.000920444488493,0.005,0.005,0.001,0.005,0.05,0.05,0.05,0.05
1.0009968382626004,0.005,0.005,0.001,0.001,0.005,0.05,0.05,0.05
1.0010303157848333,0.005,0.005,0.001,0.001,0.005,0.02,0.05,0.02
1.0010315998794201,0.005,0.005,0.001,0.001,0.05,0.005,0.005,0.005
1.0012021034230112,0.005,0.01,0.01,0.001,0.02,0.05,0.05,0.005
1.0012140134098497,0.005,0.01,0.005,0.005,0.05,0.05,0.05,0.05
1.0012846127607848,0.005,0.005,0.001,0.001,0.005,0.05,0.005,0.05
1.0012990183314079,0.005,0.005,0.001,0.001,0.02,0.005,0.05,0.02
1.0013198202927163,0.01,0.01,0.005,0.005,0.05,0.02,0.02,0.05
1.001323205059414,0.005,0.005,0.001,0.001,0.05,0.02,0.05,0.005
1.0013392310143807,0.01,0.01,0.01,0.001,0.05,0.005,0.05,0.05
1.0013817452142526,0.005,0.005,0.001,0.001,0.05,0.05,0.005,0.02
1.0013837796561431,0.005,0.005,0.001,0.001,0.05,0.02,0.02,0.05
1.001396225624897,0.005,0.005,0.001,0.001,0.02,0.02,0.05,0.05
1.0014023125150304,0.005,0.005,0.001,0.001,0.02,0.02,0.02,0.02
1.0014302674022668,0.01,0.01,0.005,0.005,0.05,0.02,0.05,0.05
1.0014316089789632,0.005,0.005,0.001,0.001,0.05,0.005,0.02,0.05
1.0014604585506128,0.005,0.005,0.005,0.001,0.05,0.005,0.05,0.05
1.0014665522387733,0.005,0.005,0.001,0.001,0.05,0.05,0.05,0.02
1.001488102567245,0.005,0.005,0.005,0.001,0.05,0.02,0.05,0.02
1.0015384431812846,0.005,0.01,0.001,0.01,0.02,0.05,0.05,0.05
1.0015615110099805,0.005,0.01,0.005,0.005,0.02,0.005,0.05,0.05
1.0015794991819504,0.005,0.005,0.005,0.001,0.02,0.02,0.05,0.05
1.0016017195985196,0.01,0.01,0.001,0.01,0.05,0.02,0.05,0.05
1.0016347355406596,0.005,0.01,0.01,0.001,0.05,0.02,0.05,0.02
1.001648074931238,0.005,0.005,0.001,0.005,0.05,0.02,0.02,0.05
1.0016752502396464,0.005,0.005,0.005,0.001,0.02,0.05,0.05,0.02
1.0016782872311263,0.005,0.005,0.001,0.001,0.02,0.005,0.02,0.005
1.0016872833229074,0.005,0.005,0.001,0.001,0.05,0.02,0.05,0.02
1.0016983274483537,0.005,0.005,0.001,0.001,0.05,0.05,0.05,0.005
1.0017070103509849,0.005,0.005,0.001,0.005,0.02,0.05,0.005,0.05
1.0017100332735953,0.005,0.005,0.001,0.005,0.05,0.005,0.05,0.05
1.0017237751236834,0.005,0.005,0.001,0.001,0.005,0.02,0.02,0.05
1.0017405194319375,0.005,0.01,0.01,0.005,0.05,0.02,0.05,0.05
1.0017783940899339,0.005,0.005,0.001,0.005,0.05,0.05,0.02,0.05
1.0017983233776564,0.005,0.005,0.001,0.001,0.02,0.05,0.005,0.05
1.0018038552563027,0.005,0.005,0.001,0.001,0.02,0.02,0.005,0.05
1.0018375640169646,0.005,0.01,0.005,0.005,0.005,0.02,0.05,0.05
1.001849912636995,0.01,0.01,0.005,0.01,0.05,0.02,0.05,0.05
1.0018594485997743,0.01,0.01,0.01,0.005,0.05,0.005,0.05,0.05
1.0018832698452005,0.005,0.005,0.001,0.001,0.02,0.005,0.005,0.05
1.0018895068895974,0.005,0.005,0.001,0.001,0.05,0.05,0.02,0.05
1.001890828400414,0.005,0.005,0.005,0.001,0.02,0.005,0.05,0.05
1.001907006324053,0.005,0.005,0.001,0.001,0.05,0.05,0.02,0.005
1.0019097817140918,0.005,0.005,0.001,0.005,0.02,0.05,0.05,0.05
1.0019130403751413,0.005,0.005,0.001,0.001,0.005,0.005,0.05,0.02
1.001927730788443,0.005,0.005,0.001,0.001,0.02,0.005,0.05,0.005
1.0019499579546491,0.005,0.005,0.001,0.001,0.05,0.005,0.05,0.02
1.001959109602611,0.005,0.01,0.001,0.005,0.02,0.05,0.05,0.05
1.0019644367647624,0.005,0.005,0.001,0.001,0.05,0.02,0.005,0.05
1.0019891136853865,0.005,0.005,0.001,0.001,0.005,0.005,0.05,0.005
1.002009336873622,0.005,0.005,0.001,0.001,0.02,0.05,0.05,0.05
1.0020445703479341,0.005,0.005,0.005,0.001,0.05,0.005,0.05,0.02
1.002058292227407,0.01,0.01,0.005,0.005,0.02,0.005,0.05,0.05
1.0020623331861465,0.005,0.005,0.001,0.005,0.005,0.005,0.02,0.05
1.0020826523511015,0.01,0.01,0.01,0.005,0.005,0.02,0.05,0.05
1.0020964644462158,0.01,0.01,0.005,0.01,0.005,0.005,0.05,0.05
1.002109075957894,0.005,0.005,0.001,0.001,0.005,0.05,0.05,0.02
1.002113027963404,0.01,0.01,0.01,0.005,0.02,0.005,0.05,0.05
1.0021247320793902,0.005,0.005,0.001,0.005,0.05,0.02,0.005,0.05
1.0021410097321817,0.005,0.005,0.005,0.001,0.05,0.05,0.05,0.02
1.0021757158286524,0.005,0.01,0.005,0.001,0.05,0.02,0.05,0.02
1.002176889374654,0.01,0.01,0.005,0.005,0.05,0.005,0.05,0.05
