typeId,retypes
0,4
1,16
2,6
3,16
4,6
5,11
6,14
7,6
8,6
9,6
10,6
11,3
12,18
13,6
14,8
15,6
16,8
17,6
18,6
19,13
20,13
21,18
22,6
23,6
24,6
25,3
26,16
27,2
28,11
29,12
30,6
31,17
32,10
33,9
34,6
35,13
36,7
37,6
38,16
39,14
40,6
41,11
42,13
43,2
44,16
45,6
46,9
47,10
48,10
49,11
50,4
51,3
52,6
53,4
54,8
55,9
56,6
57,13
58,1
59,10
60,6
61,9
62,14
63,17
64,16
65,13
66,6
67,9
68,13
69,5
70,13
71,13
72,16
73,9
74,4
75,3
76,1
77,9
78,4
79,7
80,6
81,14
82,11
83,7
84,16
85,10
86,6
87,12
88,2
89,13
90,13
91,4
92,13
93,6
94,4
95,6
96,7
97,16
98,18
99,6
100,8
101,14
102,6
103,4
104,14
105,6
106,8
107,6
108,6
109,4
110,6
111,6
112,3
113,1
114,14
115,6
116,13
117,4
118,12
119,13
120,2
121,13
122,13
123,17
124,6
125,4
126,16
127,13
128,4
129,8
130,14
131,6
132,6
133,14
134,13
135,3
136,1
137,14
138,10
139,13
140,13
141,13
142,13
143,15
144,13
145,6
146,17
147,13
148,9
149,16
150,3
151,4
152,6
153,18
154,14
155,9
156,6
157,12
158,13
159,5
160,4
161,13
162,12
163,16
164,9
165,4
166,13
167,16
168,6
169,6
170,13
171,2
172,2
173,11
174,6
175,8
176,16
177,6
178,12
179,12
180,8
181,9
182,6
183,13
184,2
185,3
186,6
187,7
188,16
189,13
190,6
191,6
192,16
193,10
194,0
195,9
196,13
197,16
198,8
199,11
200,4
201,8
202,8
203,4
204,12
205,6
206,6
207,6
208,1
209,17
210,3
211,6
212,6
213,4
214,13
215,12
216,2
217,16
218,9
219,6
