typeId,retypes,categories_lists,retypes
2,0,"['Fast Food Restaurant', 'Mexican Restaurant', 'Latin American Restaurant', 'Restaurant', 'Brazilian Restaurant']",0
3,0,"['Restaurant', 'Cafe', 'Mexican Restaurant', 'Coffee Shop', 'Latin American Restaurant', 'Bar', 'Fast Food Restaurant', 'Barbecue Restaurant', 'Chinese Restaurant', 'Bakery', 'Middle Eastern Restaurant', 'Pizza Restaurant', 'Hamburger Restaurant', 'Caterer', 'Wine Bar', 'Breakfast Restaurant', 'Italian Restaurant', 'Lounge', 'Sushi Restaurant', 'Banquet Hall', 'Pub', 'Fine Dining Restaurant', 'Thai Restaurant', 'Tea House', 'Organic Restaurant', 'Asian Restaurant', 'Vietnamese Restaurant', 'Mediterranean Restaurant', 'Bar & Grill', 'Noodle Shop', 'Sports Bar', 'Takeout Restaurant', 'Cocktail Bar', 'Pool Hall', 'Soup Restaurant', 'Steak House', 'European Restaurant', 'Party Planner', 'Southwestern Restaurant (US)', 'North African Restaurant', 'Professional Services', 'Karaoke Bar', 'Salad Shop', 'Live Music Venue', 'Southeast Asian Restaurant', 'African Restaurant', 'Japanese Restaurant', 'Irish Pub', 'Austrian Restaurant', 'Bistro', 'Bowling Alley', 'Brazilian Restaurant', 'Brewery', 'Brewpub', 'British Restaurant', 'Brunch Restaurant', 'Buffet Restaurant', 'Californian Restaurant', 'Caribbean Restaurant', 'Catering', 'Central American Restaurant', 'Chicken Restaurant', 'Clothing Store', 'Delivery Restaurant', 'Event Planner', 'Event Venue', 'Frozen Yogurt Shop', 'German Restaurant', 'Asian Fusion Restaurant', 'Greek Restaurant', 'Grill Store', 'Hotel', 'Indian Restaurant', 'Gift Shop']",0
4,0,"['Chinese Restaurant', 'Asian Restaurant', 'Fast Food Restaurant', 'Seafood Restaurant', 'Vegetarian Restaurant', 'Taiwanese Restaurant', 'Dim Sum Restaurant', 'Family Restaurant', 'Vegan Restaurant', 'Middle Eastern Restaurant', 'Buffet Restaurant', 'Asian Fusion Restaurant', 'Afghani Restaurant', 'Mongolian Barbecue Restaurant', 'Takeout Restaurant', 'Thai Restaurant', 'Soup Restaurant', 'Polynesian Restaurant', 'Sushi Restaurant', 'Japanese Steakhouse', 'Persian Restaurant', 'Korean Restaurant', 'Catering', 'Caterer', 'Cafe', 'Box Lunch Supplier', 'Barbecue Restaurant', 'Bar', 'Banquet Hall', 'Vietnamese Restaurant']",0
6,0,"['Latin American Restaurant', 'Mexican Restaurant', 'Restaurant', 'Bar', 'Chicken Restaurant', 'Seafood Restaurant', 'Takeout Restaurant', 'Grill Store', 'Bar & Grill', 'South American Restaurant', 'Cafe', 'Spanish Restaurant', 'American Restaurant', 'Cuban Restaurant', 'Argentinian Restaurant', 'Caribbean Restaurant', 'Burrito Restaurant', 'Breakfast Restaurant', 'Brazilian Restaurant', 'Banquet Hall', 'Bakery', 'Tamale Shop']",0
9,0,"['Fast Food Restaurant', 'Sandwich Shop', 'Deli', 'Restaurant', 'American Restaurant', 'Bakery', 'Breakfast Restaurant', 'Salad Shop', 'Store', 'Asian Restaurant', 'Bagel Shop', 'Barbecue Restaurant', 'Catering', 'Chicken Restaurant', 'Middle Eastern Restaurant', 'Vietnamese Restaurant']",0
10,0,"['Japanese Restaurant', 'Asian Restaurant', 'Sushi Restaurant', 'Restaurant', 'Ramen Restaurant', 'Korean Restaurant', 'Seafood Restaurant', 'Noodle Shop', 'Sukiyaki and Shabu Shabu...', 'Steak House', 'Latin American Restaurant', 'Kaiseki Restaurant', 'Banquet Hall', 'Fast Food Restaurant', 'Cocktail Bar', 'Catering', 'Buffet Restaurant', 'Barbecue Restaurant', 'Bar & Grill', 'Bar', 'Takeout Restaurant']",0
14,0,"['Italian Restaurant', 'Pizza Restaurant', 'European Restaurant', 'Nepalese Restaurant', 'New American Restaurant', 'Pizza Takeout', 'Restaurant', 'Southern Italian Restaurant', 'Wine Bar']",0
16,0,"['Asian Restaurant', 'Southeast Asian Restaurant', 'Restaurant', 'Noodle Shop', 'Filipino Restaurant', 'Bakery', 'Cambodian Restaurant', 'Fast Food Restaurant', 'Fine Dining Restaurant', 'Indonesian Restaurant', 'Malaysian Restaurant']",0
22,0,"['Hamburger Restaurant', 'Fast Food Restaurant', 'American Restaurant', 'Takeout Restaurant', 'Asian Fusion Restaurant', 'Beverages', 'Diner', 'Latin American Restaurant', 'Mediterranean Restaurant', 'New American Restaurant', 'Steak House']",0
25,0,"['Asian Restaurant', 'South Asian Restaurant', 'Indian Restaurant', 'Restaurant', 'Buffet Restaurant', 'Event Venue', 'Family Restaurant', 'Fine Dining Restaurant', 'Stores and Shopping']",0
