gPlusUserId,currentPlace
100002460517064340398,Sunnyvale
100003840837471130074,"Sunnyvale, CA"
100006029944244477735,"Campbell, CA"
100006742151940031092,Palo Alto
100008858224190919909,Palo Alto
100011536689227259888,"San Jose, CA"
100011734673578683865,Sunnyvale
100023366950410484090,"San Jose, CA"
100025655415646683792,"Mountain View, CA"
100025687874279318638,"Saratoga Springs, New York"
100031632275618346369,"Santa Clara, CA"
100033259474564668067,"Saratoga Springs, UT"
100037103918918981546,"Mountain View, CA 94040, United States"
100038801356570551641,"Sunnyvale, CA"
100039713894403535523,"San Jose, CA, USA"
100040772909622932851,Santa Clara
100044972860250478568,"Santa Clara, CA"
100045889124176621992,"San Jose, CA"
100052281102339547096,"Santa Clara, CA"
100071656171098961099,"San Jose, CA"
100072405688463733878,San Jose
100074979641998379209,"San Jose, CA"
100075904607680107656,Mountain View
100092973924299003677,"Santa Clara, CA 95054"
100093942771822407513,"San Jose, Costa Rica"
100099075567980463246,San Jose
100101450033337767170,"Mountain View, CA"
100110208515823332531,"California, San Jose"
100115067108459141617,"San Jose, CA"
100124946836989348289,"Sunnyvale, CA"
100126762950886356143,"Sunnyvale, CA"
100132303607731236513,San Jose CA
100133793475601121414,"Cupertino, ca"
100138590324784378287,"Mountain View, CA"
100143217078205952565,"Los Gatos, CA"
100148785974755148026,"Saratoga Springs, UT, United States"
100149664588967478805,San Jose
100158475664380313769,Cupertino
100165785138393413483,"San Jose, CA"
100167615322834761752,"Palo Alto, CA"
100171211835522367103,"Gilroy, california"
100171231283496574264,"San Jose, CA"
100177386695296816639,San Jose California
100190519854750487303,"San Jose, CA"
100197508356886326704,Santa Clara
100203221078261542830,"Campbell, CA"
100214762861038716832,"San Jose, CA 95117"
100215158885259107805,"Palo Alto, CA"
100233014292173864533,"Mountain View, CA"
100251179426558084985,Sunnyvale
100253010220218255500,"San Jose, Ca"
100256150957149096364,"Sunnyvale, CA"
100259020792501438762,"Mountain View, CA"
100262640146945954762,"San Jose, CA"
100264743095233022379,"Mountain View, CA"
100269481391810649903,"San Jose, CA"
100271453351601120134,San Jose Beach
100275503224953366263,"Sunnyvale, CA, USA"
100276270139702846152,"Gilroy, CA"
100291891672286083530,"Sunnyvale, CA 94085"
100293932593728894933,"Palo Alto, CA"
100296505327492549040,"San Jose, CA 95128"
100296846020450571130,San Jose
100298086018454879725,Milpitas
100305472047811926988,Palo Alto
100309291123058868613,San Jose
100313891823160745723,"Campbell, CA."
100314480566312367138,"San Jose, CA"
100318738762981464255,"Mountain View, CA"
100318886523529934789,"Mountain View, CA"
