gPlusUserId,currentPlace
100002460517064340398,Sunnyvale
100003840837471130074,"Sunnyvale, CA"
100006029944244477735,"Campbell, CA"
100006742151940031092,Palo Alto
100008858224190919909,Palo Alto
100011536689227259888,"San Jose, CA"
100023366950410484090,"San Jose, CA"
100025655415646683792,"Mountain View, CA"
100031632275618346369,"Santa Clara, CA"
100038801356570551641,"Sunnyvale, CA"
100039713894403535523,"San Jose, CA, USA"
100071656171098961099,"San Jose, CA"
100072405688463733878,San Jose
100074979641998379209,"San Jose, CA"
100075904607680107656,Mountain View
100092973924299003677,"Santa Clara, CA 95054"
100110208515823332531,"California, San Jose"
100115067108459141617,"San Jose, CA"
100124946836989348289,"Sunnyvale, CA"
100126762950886356143,"Sunnyvale, CA"
100132303607731236513,San Jose CA
100133793475601121414,"Cupertino, ca"
100143217078205952565,"Los Gatos, CA"
100149664588967478805,San Jose
100158475664380313769,Cupertino
100165785138393413483,"San Jose, CA"
100167615322834761752,"Palo Alto, CA"
100171211835522367103,"Gilroy, california"
100177386695296816639,San Jose California
100190519854750487303,"San Jose, CA"
100197508356886326704,Santa Clara
100214762861038716832,"San Jose, CA 95117"
100215158885259107805,"Palo Alto, CA"
100233014292173864533,"Mountain View, CA"
100251179426558084985,Sunnyvale
100253010220218255500,"San Jose, Ca"
100256150957149096364,"Sunnyvale, CA"
100262640146945954762,"San Jose, CA"
100264743095233022379,"Mountain View, CA"
100269481391810649903,"San Jose, CA"
100275503224953366263,"Sunnyvale, CA, USA"
100276270139702846152,"Gilroy, CA"
100291891672286083530,"Sunnyvale, CA 94085"
100296505327492549040,"San Jose, CA 95128"
100296846020450571130,San Jose
100298086018454879725,Milpitas
100309291123058868613,San Jose
100314480566312367138,"San Jose, CA"
100321501961138199853,"San Jose, CA"
100338061906674581583,Sunnyvale
100342053567370325858,"Mountain View, CA"
100360546518857835207,Sunnyvale
100364774576371991691,"Mountain View, CA"
100365059611069751693,"San Jose, CA"
100373084471642781968,San Jose
100375485455721630300,"San Jose, CA"
100382975785238349161,"San Jose, CA"
100422138690900688683,"San Jose, CA"
100433426906137374014,"San Jose, CA."
100438216083628066239,"Santa Clara, CA"
100439596227271073079,Mountain View
100443911806118334980,"San Jose, CA"
100451483231121698580,"Campbell, CA"
100459615849581001992,"Santa Clara, CA 95054, United States"
100460423027501413234,"Palo Alto, CA"
100460763424732665678,"San Jose, CA"
100468471941650253462,"Saratoga, CA"
100481154428131733498,"San Jose, CA, United States"
100492568589262300758,"San Jose, CA"
100499252903170472938,"San Jose,CA"
100512490012949755266,"Saratoga, CA"
