name	gPlusPlaceId	latitude	longitude
b'Williams Cutlery & Gifts'	110907461902274791474	37.261032	-121.928556
b'Kenzo Sushi'	108154014110798888312	37.254326	-121.83113999999999
b'Kim Wok'	110125337790407704048	37304884.0	-121921823.0
b'east side smoke shop'	103270878986977603400	37.355094	-121.851676
b'Garden City Casino'	106229285421487980307	37.321626	-121.969829
b'Central Self Storage'	115040959797225415718	37.34895	-121.91273000000001
b'El Jardin Restaurant & Tequila Bar'	107031687022002436775	37.319359000000006	-121.94785300000001
"b""Kurt's Auto Electric & Repair"""	110180572937636033734	37.251976	-121.832792
b'Hot Dogs on the Row'	114370393448246575353	37320690.0	-121948970.0
b'Five Guys Burgers & Fries'	102555234300745855875	37.383654	-121.89692600000001
b'Wienerschnitzel'	104303559484394393721	37266061.0	-121865566.0
b'A-1 Self Storage'	113982357909518928785	37.264631	-121.94208200000001
b'Mi Pueblo Food Center'	101664489050035090091	37.341207	-121.842937
b'Good Karma Vegan Cafe'	108134465153094068523	37.335403	-121.890227
b'Five Guys Burgers and Fries'	102693594741275549773	37.301926	-121.86513400000001
b'Holland Pastry Shop'	106865432761888733644	37.318993	-121.93163100000001
b'Wells Fargo Bank'	105101844552271608961	37.354504999999996	-121.82063799999999
"b""Skip's Tire & Auto Centers"""	116766137588534399889	37.244862	-121.804645
"b""Holly's Nail Design"""	118204584133513174915	37.259716	-121.808778
b'Rosemary Evans DDS'	115858366987531266587	37.362272999999995	-121.84623300000001
b'Jamba Juice'	116153406532918709481	37.3834	-121.895
b'Anderson School Age Child Development'	100893985819217829730	37.246802	-121.811953
b'Capitol Hyundai'	114580163755740108285	37.275307	-121.87539299999999
b'Orchard Supply Hardware'	107822338663663994486	37.323605	-121.90160800000001
b'Woodland Meadows'	114254559988759776967	37.385573	-121.88941299999999
b'Smog Man Test Only'	109790765366006155113	37.32281	-121.907868
b'Streetlight Records'	100812805423195681505	37.307922999999995	-121.93155300000001
b'Hoagie Steak Out'	106289643968392389032	37.332374	-121.884723
b'Park & Hester Market'	105986785606425115405	37.329724	-121.91943799999999
b'La Quinta Inn & Suites San Jose Airport'	108423624740760685616	37.378175	-121.939132
b'Fresh & Easy Neighborhood Market'	100883645420641212024	37.417071	-121.954021
b'DMV'	110104291274953577697	37.229655	-121.77851399999999
b'Cali Movers Inc.'	101787072032964945906	37.246878	-121.86326499999998
b'Valero'	111455836806509220775	37.323696000000005	-121.93238500000001
b'Dr. Martin Luther King, Jr. Library'	117395910679978193779	37.335656	-121.88531599999999
b'Oakley'	101380993829423046843	37.320190999999994	-121.947452
b'AutoZone'	102840958455295668664	37.350637	-121.827582
b'Splendid Foot Reflexology'	113630657112777315494	37.333655	-121.852538
b'Original Pancake House'	117858416706070221652	37.298589	-122.03205
b'Saratoga Shell'	105808392864648413745	37.294405	-122.032053
b'Hani Jamah, DDS (Jamah Dental)'	100185611127529378394	37.248153	-121.84646599999999
"b""Kokila's Kitchen"""	102996413361039715515	37.258990999999995	-121.89138700000001
b'Asphalt Overcoat Sealer Contractor'	102370382423402277249	37.266022	-121.864577
b'Darling Nails'	107734284288827202727	37.290237	-121.888117
b'RASA Hydroponics & Organics'	101242702532842023281	37.248893	-121.86773500000001
b'La Cueva Mex Grill'	111985730466111089146	37.291431	-121.99440700000001
b'Hawaiian BBQ'	116873324100876387732	37.236803	-121.801645
b'Hilton San Jose'	117183594758185443895	37.329189	-121.89069199999999
"b""Lowe's Home Improvement"""	112447315814409038847	37.380311999999996	-121.901125
b'Law Offices of Travis H. Whitfield'	110728966293565268367	37.382673	-121.912375
b'Elbow Room Bar & Grill'	114118430863901189623	36.81162	-119.807203
"b""Roy's Station Coffee & Tea"""	111971750149094607292	37.349034	-121.894737
b'Sushi Mania'	101025789296147189137	37.251588	-121.909273
b'Senor Jalapeno'	115978705500414857902	37.369335	-121.92026499999999
b'Billy Defrank Lgbt Community Center'	110262351404573113874	37.331508	-121.908056
b'Law Offices of Maynard & Hogan'	103306455220468129037	37.302828000000005	-121.899555
b'Pieology Pizzeria'	107990357236218229078	37.383077	-121.897203
b'Grand Century Dental Center'	112424463049934646000	37.329459	-121.859277
b'Executive Inn'	100905534324566557408	37.360699	-121.907728
b'The UPS Store'	103681757467425570890	37.262049	-121.93446200000001
b'Foothill Lounge'	101710101450621714491	37.31295	-121.79144
b'Starbucks'	102031789528094638354	37.294616	-121.93093
b'Advanced Communications'	108588852556441369543		
b'Siam Fine Thai Cuisine'	108139965358635424717	37.323192	-121.946003
b'Music Tunnel Ktv'	102507923610950639421	37.304885	-122.031977
b'Aguila Travel'	103319614325391033585	37.348637	-121.83066200000002
b'Los Dos Compadres 2'	115250779014715347428	37.294677	-122.03145900000001
b'Le Boulanger Inc'	103353118188952625063		
"b""Hobee's"""	116150392432998827564	37.398154	-121.92450500000001
b'Target Pharmacy'	117845896558340448341	37.264728999999996	-121.918489
"b""Hitchcock's Garden Tool & Supply"""	112467669295770415683	37.322468	-121.90031299999998
b'Nail Spa By Tammy'	118181192846354376972	37.305028	-121.89839199999999
b'Union Auto Care'	108667008307085969962	37.259997	-121.931583
b'AMC Glass Co'	104557749372722867905	37.306802000000005	-121.865126
b'City Diner'	108215703415883643286	37.290113	-121.848129
